time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-02-10T21:05:05.780Z,34.2895,-116.9458333,7.611,4.66,mw,92,23,0.05891,0.25,ci,ci9627721,2022-06-18T01:09:39.870Z,"6km NNW of Big Bear Lake, CA",earthquake,0.29,1.48,,6,reviewed,ci,ci
2001-07-17T12:07:26.100Z,36.0163333,-117.8743333,1.864,5.17,mw,39,37,,0.18,ci,ci9674049,2022-06-18T03:51:06.839Z,"7km ESE of Coso Junction, CA",earthquake,0.35,0.48,,6,reviewed,ci,ci
2001-07-17T12:59:59.170Z,36.017,-117.8823333,-0.706,4.93,mw,33,98,0.01132,0.2,ci,ci9674213,2022-08-09T07:28:30.582Z,"7km ESE of Coso Junction, CA",earthquake,0.43,0.78,,6,reviewed,ci,ci
2001-10-31T07:56:16.630Z,33.5083333,-116.5143333,13.678,5.02,mw,78,18.2,0.07467,0.26,ci,ci9718013,2022-06-18T04:25:16.624Z,"16km ESE of Anza, CA",earthquake,0.26,0.34,,6,reviewed,ci,ci
2001-12-08T23:36:10.110Z,31.9976667,-115.0016667,6.981,5.7,mw,12,261.5,0.6721,0.3,ci,ci9732601,2022-06-18T04:42:40.445Z,"22km S of Estacion Coahuila, B.C., MX",earthquake,4.65,28,,6,reviewed,ci,ci
2001-12-09T01:42:26.450Z,32.0035,-115.01,7.041,4.89,ml,11,260.7,0.6714,0.3,ci,ci9732973,2022-04-29T19:44:21.051Z,"21km S of Estacion Coahuila, B.C., MX",earthquake,2.99,20.17,0.668,130,reviewed,ci,ci
2002-02-22T19:32:41.750Z,32.3188333,-115.3215,7.007,5.7,mw,20,217.5,0.4751,0.38,ci,ci12456384,2022-05-02T15:45:48.377Z,"13km WSW of Delta, B.C., MX",earthquake,2.44,31.95,,0,reviewed,ci,ci
2002-03-16T21:33:23.820Z,33.666,-119.33,6.765,4.6,ml,39,122.5,0.4476,0.31,ci,ci12659440,2020-02-12T17:43:23.447Z,"33km NW of Santa Barbara Is., CA",earthquake,0.58,22.45,0.742,112,reviewed,ci,ci
2002-09-03T07:08:51.840Z,33.9123333,-117.7833333,9.371,4.78,ml,141,19,,0.31,ci,ci9818433,2022-06-18T05:32:07.750Z,"4km NE of Yorba Linda, CA",earthquake,0.18,0.39,0.185,166,reviewed,ci,ci
2002-10-29T14:16:54.080Z,34.8026667,-116.2665,3.67,4.77,ml,31,51.1,,0.2,ci,ci9854597,2022-06-18T05:52:07.684Z,"13km NW of Ludlow, CA",earthquake,0.32,0.54,0.543,130,reviewed,ci,ci
2002-12-10T21:04:00.690Z,32.2316667,-115.7981667,6.777,4.84,ml,21,218.5,,0.23,ci,ci13917260,2020-02-12T17:26:39.153Z,"44km SSW of Progreso, B.C., MX",earthquake,1.99,20.35,1.178,104,reviewed,ci,ci
2003-01-25T09:16:10.220Z,35.3175,-118.6538333,4.868,4.54,ml,55,44.8,0.1924,0.24,ci,ci9882329,2022-08-09T07:35:00.992Z,"20km NE of Arvin, CA",earthquake,0.27,23.57,0.983,130,reviewed,ci,ci
2003-02-07T10:34:04.830Z,31.6281667,-115.5106667,7.545,4.99,ml,19,268,1.034,0.27,ci,ci9886485,2022-06-18T06:27:21.715Z,"74km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,3.92,5.05,0.949,125,reviewed,ci,ci
2003-02-22T12:19:10.920Z,34.312,-116.8448333,5.589,4.99,mw,93,35,,0.32,ci,ci13935988,2022-05-02T16:26:11.224Z,"6km N of Big Bear City, CA",earthquake,0.16,0.56,,6,reviewed,ci,ci
2003-02-22T19:33:45.800Z,34.3096667,-116.8503333,1.409,4.5,ml,89,17.8,,0.23,ci,ci13936812,2022-08-05T17:49:20.107Z,"5km N of Big Bear City, CA",earthquake,0.2,0.43,0.558,133,reviewed,ci,ci
2003-02-25T04:03:04.800Z,34.3155,-116.8445,1.099,4.61,ml,100,17.8,,0.27,ci,ci13938812,2020-02-12T17:18:13.363Z,"6km N of Big Bear City, CA",earthquake,0.19,0.46,0.943,132,reviewed,ci,ci
2003-03-11T19:28:17.910Z,34.3591667,-116.1331667,3.069,4.64,ml,69,32.2,,0.26,ci,ci13945908,2020-02-12T17:16:53.028Z,"25km NNW of Twentynine Palms, CA",earthquake,0.22,0.44,0.968,132,reviewed,ci,ci
2004-05-16T01:29:39.277Z,37.2798,-114.84,0,4.5,ml,7,227,0.21,0.1102,nn,nn00105745,2018-04-24T21:11:39.934Z,"30 km ESE of Alamo, Nevada",earthquake,,0,,,reviewed,nn,nn
2004-06-15T22:28:48.190Z,32.3428333,-117.9141667,9.824,4.98,mw,10,249,0.7503,0.79,ci,ci14065544,2020-05-02T01:23:29.284Z,"67km SE of San Clemente Is. (SE tip), CA",earthquake,3.45,31.61,,6,reviewed,ci,ci
2004-09-18T23:02:17.750Z,38.0095,-118.6785,3.355,5.4,mw,52,55,0.05045,0.08,nc,nc21396205,2022-08-08T22:11:30.657Z,"27 km NW of Benton, California",earthquake,0.2,0.6,,9,reviewed,nc,nc
2004-09-18T23:43:41.490Z,38.0233333,-118.658,0.431,5.35,mw,48,76,0.07117,0.07,nc,nc30500748,2022-05-02T17:27:26.590Z,"27 km NW of Benton, California",earthquake,0.21,2.84,,6,reviewed,nc,nc
2004-09-20T16:51:04.810Z,38.0276667,-118.6425,2.185,4.67,mw,49,65,0.06216,0.08,nc,nc21397068,2022-08-08T22:12:35.181Z,"27 km NNW of Benton, California",earthquake,0.18,0.6,,5,reviewed,nc,nc
2004-09-29T22:54:54.240Z,35.3898333,-118.6235,2.788,5.03,mw,71,18,,0.25,ci,ci14095628,2022-08-05T17:21:36.671Z,"25km SSW of Bodfish, California",earthquake,0.27,0.72,,6,reviewed,ci,ci
2004-10-09T03:45:48.680Z,37.9788333,-118.6588333,5.445,4.52,mw,47,67,0.04595,0.08,nc,nc21405798,2022-08-08T22:18:34.142Z,"23 km NW of Benton, California",earthquake,0.22,0.67,,4,reviewed,nc,nc
2005-03-02T11:12:57.420Z,34.715,-110.97,5,5.1,mb,30,55.1,,0.82,us,usp000dhc3,2022-06-18T10:04:00.283Z,"40 km SSW of Winslow West, Arizona",earthquake,,,,2,reviewed,us,us
2005-04-16T19:18:13.400Z,35.0223333,-119.191,9.288,4.59,mw,73,62,,0.35,ci,ci14138080,2022-05-02T17:55:21.942Z,"20km ESE of Maricopa, CA",earthquake,0.31,1.64,,6,reviewed,ci,ci
2005-06-12T15:41:46.520Z,33.5325,-116.5666667,13.051,5.2,mw,96,19,0.04319,0.21,ci,ci14151344,2022-09-07T22:13:56.526Z,"10km ESE of Anza, CA",earthquake,0.17,0.26,,0,reviewed,ci,ci
2005-06-16T20:53:26.020Z,34.058,-117.0113333,10.558,4.88,mw,149,18,,0.29,ci,ci14155260,2024-05-07T13:45:18.248Z,"4km NE of Yucaipa, CA",earthquake,0.21,0.46,,6,reviewed,ci,ci
2005-08-31T22:47:45.530Z,33.1663333,-115.6351667,4.003,4.63,ml,45,67,0.0198,0.27,ci,ci14178184,2020-06-27T04:47:30.746Z,"12km WNW of Calipatria, CA",earthquake,0.27,31.61,0.131,153,reviewed,ci,ci
2005-08-31T23:32:11.040Z,33.1896667,-115.603,4.267,4.57,ml,55,44,0.01613,0.4,ci,ci14178248,2020-06-27T04:48:10.189Z,"10km SW of Niland, CA",earthquake,0.5,0.75,0.142,170,reviewed,ci,ci
2005-09-02T01:27:18.610Z,33.1748333,-115.6311667,4.977,4.5,mh,60,32,0.01097,0.36,ci,ci12217067,2022-05-02T18:30:38.615Z,"12km WNW of Calipatria, CA",earthquake,0.49,0.78,,0,reviewed,ci,ci
2005-09-02T01:27:19.590Z,33.1533333,-115.6463333,1.207,5.08,mw,39,52,0.03525,0.33,ci,ci14179736,2021-02-18T19:24:46.862Z,"13km WNW of Calipatria, CA",earthquake,0.33,0.86,,6,reviewed,ci,ci
2005-09-22T20:24:48.620Z,35.0433333,-119.0143333,10.005,4.69,mw,107,18,,0.41,ci,ci14186612,2020-05-02T01:31:54.868Z,"14km NW of Grapevine, CA",earthquake,0.31,0.71,0.232,0,reviewed,ci,ci
2005-10-16T21:11:35.010Z,32.4545,-118.1633333,9.778,4.99,ml,20,244,0.6157,0.38,ci,ci10147909,2020-06-27T05:37:10.324Z,"44km SSE of San Clemente Is. (SE tip), CA",earthquake,1.44,31.61,0.111,386,reviewed,ci,ci
2006-05-24T04:20:26.010Z,32.3066667,-115.2278333,6.006,5.37,mw,21,263,0.4775,0.36,ci,ci12245763,2022-05-02T15:30:57.072Z,"6km SSW of Delta, B.C., MX",earthquake,1.86,31.61,0.221,0,reviewed,ci,ci
2006-11-03T15:56:43.050Z,32.676,-116.0481667,13.436,4.62,ml,48,145,0.04732,0.44,ci,ci10215753,2020-06-27T06:05:57.191Z,"8km SW of Ocotillo, CA",earthquake,0.48,0.64,0.173,378,reviewed,ci,ci
2007-06-12T07:23:43.130Z,37.5403333,-118.8675,7.94,4.6,mw,44,56,,0.06,nc,nc51182810,2020-08-15T03:52:37.390Z,"14km SE of Mammoth Lakes, CA",earthquake,0.21,0.4,,5,reviewed,nc,nc
2007-08-09T07:58:49.590Z,34.2995,-118.6195,7.062,4.66,ml,111,24,0.0442,0.3,ci,ci14312160,2022-08-05T16:52:58.088Z,"5km NNW of Chatsworth, CA",earthquake,0.24,1.05,0.177,355,reviewed,ci,ci
2007-09-02T17:29:14.790Z,33.7321667,-117.477,12.192,4.73,ml,136,54,,0.32,ci,ci10275733,2022-08-05T16:51:42.405Z,"13km NE of Trabuco Canyon, CA",earthquake,0.27,0.55,0.137,396,reviewed,ci,ci
2008-02-09T07:12:04.550Z,32.3595,-115.2773333,6.001,5.1,mw,31,222,0.467,1.4,ci,ci14346868,2022-08-05T16:45:21.149Z,"8km W of Delta, B.C., MX",earthquake,5.62,31.61,,6,reviewed,ci,ci
2008-02-11T18:29:30.530Z,32.3271667,-115.2568333,6.001,5.1,mw,28,228,0.5031,1.04,ci,ci14348196,2022-05-02T19:37:00.378Z,"7km WSW of Delta, B.C., MX",earthquake,4.91,31.61,,6,reviewed,ci,ci
2008-02-12T04:32:39.240Z,32.4475,-115.3175,6.018,4.97,mw,29,208,0.3731,0.44,ci,ci14348588,2022-05-02T19:36:57.520Z,"13km SSE of Puebla, B.C., MX",earthquake,1.47,31.61,,6,reviewed,ci,ci
2008-02-19T22:41:29.660Z,32.4325,-115.313,6.006,5.01,mw,32,210,0.3885,0.55,ci,ci14351140,2022-08-05T16:37:59.846Z,"14km NW of Delta, B.C., MX",earthquake,1.58,31.61,,6,reviewed,ci,ci
2008-02-20T01:28:55.450Z,32.4261667,-115.3063333,6.001,4.83,ml,33,212,0.3962,0.53,ci,ci14351300,2022-08-05T16:36:42.833Z,"13km NW of Delta, B.C., MX",earthquake,1.52,31.61,0.117,256,reviewed,ci,ci
2008-02-22T19:31:18.480Z,32.421,-115.2853333,6.001,4.78,ml,33,213,0.4067,0.46,ci,ci14352012,2022-08-05T16:35:35.233Z,"11km NW of Delta, B.C., MX",earthquake,1.21,31.61,0.117,233,reviewed,ci,ci
2008-02-22T19:33:52.140Z,32.3901667,-115.2698333,5.982,4.58,ml,18,263,0.4401,0.47,ci,ci12330895,2022-08-08T22:24:40.922Z,"8km WNW of Delta, B.C., MX",earthquake,1.46,31.61,0.218,40,reviewed,ci,ci
2008-07-29T18:42:15.670Z,33.9485,-117.7663333,15.503,5.44,mw,136,17,0.08724,0.3,ci,ci14383980,2024-08-07T11:03:56.451Z,"5km S of Chino Hills, CA",earthquake,0.19,0.52,,6,reviewed,ci,ci
2008-09-05T21:54:33.590Z,32.3468333,-115.2295,14.987,4.63,ml,26,225,0.4423,0.72,ci,ci10347253,2020-05-02T01:56:52.544Z,"4km WSW of Delta, B.C., MX",earthquake,2.4,31.61,0.118,245,reviewed,ci,ci
2008-11-20T19:23:00.190Z,32.3288333,-115.3318333,6.006,4.98,ml,29,228,0.4619,1.28,ci,ci14404512,2022-08-05T18:39:25.267Z,"13km WSW of Delta, B.C., MX",earthquake,4.32,31.61,0.129,246,reviewed,ci,ci
2008-12-06T04:18:42.850Z,34.8133333,-116.4188333,6.37,5.06,mw,48,65,0.07081,0.19,ci,ci14408052,2022-08-05T18:44:44.117Z,"26km WNW of Ludlow, CA",earthquake,0.21,0.78,,6,reviewed,ci,ci
2008-12-28T05:17:07.470Z,32.5681667,-115.5428333,10.01,4.52,ml,39,187,0.1748,0.91,ci,ci10368325,2022-08-05T19:00:02.720Z,"4km ESE of Progreso, B.C., MX",earthquake,2.92,31.61,0.15,375,reviewed,ci,ci
2009-03-24T11:55:43.930Z,33.3171667,-115.7281667,6.003,4.77,ml,77,37,0.03561,0.26,ci,ci14433456,2022-08-05T19:52:03.176Z,"4km S of Bombay Beach, CA",earthquake,0.28,1.34,0.127,346,reviewed,ci,ci
2009-05-18T03:39:36.340Z,33.9376667,-118.3356667,13.817,4.7,mw,123,44,,0.34,ci,ci10410337,2022-08-05T20:19:51.446Z,"2km E of Lennox, CA",earthquake,0.29,0.49,,0,reviewed,ci,ci
2009-05-23T22:58:32.940Z,36.3961667,-117.8376667,-0.64,4.73,ml,38,52,0.1564,0.25,ci,ci14462064,2022-08-05T20:28:36.698Z,"20km NE of Olancha, CA",earthquake,0.38,0.94,0.138,385,reviewed,ci,ci
2009-09-19T22:55:17.840Z,32.3706667,-115.2611667,9.987,5.08,mw,27,261,0.4352,0.42,ci,ci14512436,2022-08-05T21:59:53.916Z,"7km WNW of Delta, B.C., MX",earthquake,1.89,31.61,,5,reviewed,ci,ci
2009-10-01T10:01:24.670Z,36.3878333,-117.8586667,3.985,5,mw,34,49,0.1683,0.32,ci,ci14517500,2022-08-05T22:04:02.196Z,"18km NE of Olancha, CA",earthquake,0.49,31.61,,0,reviewed,ci,ci
2009-10-03T01:09:19.140Z,36.391,-117.8638333,0.7,4.74,ml,36,51,0.1665,0.26,ci,ci14519756,2022-08-05T22:14:38.857Z,"18km NE of Olancha, CA",earthquake,0.42,0.95,0.164,185,reviewed,ci,ci
2009-10-03T01:10:26.100Z,36.3863333,-117.8681667,1.688,4.85,ml,23,52,0.172,0.28,ci,ci14519764,2022-08-05T22:15:48.623Z,"17km NE of Olancha, CA",earthquake,0.37,31.61,0.135,372,reviewed,ci,ci
2009-10-03T01:16:00.310Z,36.391,-117.8608333,-1.77,5.19,mw,36,50,0.1658,0.33,ci,ci14519780,2022-08-05T22:11:26.331Z,"18km NE of Olancha, CA",earthquake,0.46,1.22,,6,reviewed,ci,ci
2009-10-03T05:31:57.720Z,36.39,-117.8635,0.08,4.66,ml,36,51,0.1674,0.25,ci,ci14520476,2022-08-05T22:15:38.376Z,"18km NE of Olancha, CA",earthquake,0.37,0.9,0.131,399,reviewed,ci,ci
2009-11-16T21:21:30.630Z,35.5485,-117.2745,1.248,4.6,ml,54,46,0.0771,0.23,ci,ci10497821,2022-08-05T22:59:20.974Z,"26km SSE of Trona, CA",earthquake,0.28,0.64,0.135,377,reviewed,ci,ci
2009-12-30T18:48:57.330Z,32.464,-115.1891667,5.971,5.8,mw,19,205,0.324,0.39,ci,ci14565620,2022-08-05T23:13:27.083Z,"12km N of Delta, B.C., MX",earthquake,1.83,31.61,,7,reviewed,ci,ci
2009-12-30T18:53:23.960Z,32.5323333,-115.2081667,5.986,4.77,ml,21,193,0.2792,0.34,ci,ci14565636,2020-07-07T22:05:21.405Z,"14km ESE of Puebla, B.C., MX",earthquake,1.75,31.61,0.12,302,reviewed,ci,ci
2010-03-30T09:14:10.460Z,31.276,-114.049,10,4.6,mb,38,160.6,,1.17,us,usp000ha4x,2014-11-07T01:41:06.521Z,"48 km W of Puerto Peñasco, Mexico",earthquake,,,,8,reviewed,us,us
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,mw,10,239,0.5137,0.11,ci,ci14607652,2024-02-25T07:12:55.588Z,"The 2010 Sierra El Mayor, B.C., Mexico Earthquake",earthquake,1.81,31.61,,0,reviewed,ci,ci
2010-04-04T22:43:00.430Z,32.4533333,-115.632,9.981,5.26,ml,16,239,0.3162,0.26,ci,ci10184394,2017-02-08T15:33:36.578Z,"15km SSW of Progreso, B.C., MX",earthquake,1,31.61,0.11,13,reviewed,ci,ci
2010-04-04T22:50:17.120Z,32.0986667,-115.0481667,10.011,5.7,mw,5,296,0.7811,0.33,ci,ci31957759,2022-05-02T21:51:30.725Z,"12km SSW of Estacion Coahuila, B.C., MX",earthquake,3.14,31.61,,4,reviewed,ci,ci
2010-04-04T23:09:40.110Z,32.204,-115.3328333,9.979,4.79,ml,9,284,0.6059,0.17,ci,ci14607820,2020-07-07T22:06:16.238Z,"16km W of Alberto Oviedo Mota, B.C., MX",earthquake,2.12,31.61,0.18,305,reviewed,ci,ci
2010-04-04T23:15:14.240Z,32.3,-115.2595,9.987,5.43,mw,8,254,0.4955,0.23,ci,ci14607836,2022-05-02T22:35:48.114Z,"9km SW of Delta, B.C., MX",earthquake,1.8,31.61,,4,reviewed,ci,ci
2010-04-04T23:17:13.080Z,32.2211667,-115.2906667,9.995,4.56,ml,8,259,0.5639,0.22,ci,ci10169094,2017-02-08T15:42:53.506Z,"11km W of Alberto Oviedo Mota, B.C., MX",earthquake,2.61,31.61,0.11,11,reviewed,ci,ci
2010-04-04T23:25:07.190Z,32.2661667,-115.2925,9.987,5.38,mw,10,278,0.5296,0.3,ci,ci14607924,2022-05-02T21:50:24.255Z,"12km WNW of Alberto Oviedo Mota, B.C., MX",earthquake,3.12,31.61,,6,reviewed,ci,ci
2010-04-04T23:37:33.490Z,32.4623333,-115.5978333,9.966,4.7,ml,22,244,0.2158,0.25,ci,ci14607972,2022-07-16T09:45:19.425Z,"13km S of Progreso, B.C., MX",earthquake,1.16,31.61,0.156,181,reviewed,ci,ci
2010-04-05T00:07:07.920Z,31.9788333,-115.1341667,9.994,5.22,ml,9,276,0.7555,0.38,ci,ci10148002,2022-05-12T17:54:17.835Z,"27km SSW of Estacion Coahuila, B.C., MX",earthquake,7.67,31.61,0.156,123,reviewed,ci,ci
2010-04-05T01:25:34.670Z,32.1445,-115.1148333,10.015,4.64,mw,9,302,0.7162,0.19,ci,ci30213759,2017-02-08T04:55:18.367Z,"11km SSE of Alberto Oviedo Mota, B.C., MX",earthquake,1.51,31.61,,0,reviewed,ci,ci
2010-04-05T01:52:25.420Z,32.5933333,-115.7733333,4.085,4.68,ml,35,195,0.1369,0.23,ci,ci14608980,2017-02-08T01:33:20.320Z,"18km W of Progreso, B.C., MX",earthquake,0.64,0.67,0.159,74,reviewed,ci,ci
